"","beta","gamma2","sigma2","icc","c1","c1_c2_ratio","n_clusters","n_obs_per_cluster","avg_beta_est","avg_beta_bias","avg_mse","avg_ci_coverage","beta_est_var","power","type_I_error"
"beta_est...1",0.05,1,0.1,0.909090909090909,20,2,50,3,0.0665759605709841,0.0165759605709841,0.06735030490241,0.97,0.0811212184989533,0.06,0
"beta_est...2",0.5,1,0.1,0.909090909090909,20,2,50,3,0.492610557167425,-0.00738944283257474,0.0665809912097012,0.93,0.0970961875787394,0.41,0
"beta_est...3",1.5,1,0.1,0.909090909090909,20,2,50,3,1.50237111302159,0.00237111302159224,0.0667010346537467,0.98,0.0807865211642404,1,0
"beta_est...4",0.05,1,1.2,0.454545454545455,20,2,50,3,0.0247804396143331,-0.0252195603856669,0.914184272883839,0.92,0.149202720260797,0.06,0
"beta_est...5",0.5,1,1.2,0.454545454545455,20,2,50,3,0.459829819575535,-0.0401701804244648,0.929279386337166,0.95,0.133100853684171,0.28,0
"beta_est...6",1.5,1,1.2,0.454545454545455,20,2,50,3,1.48025001119923,-0.0197499888007708,0.931244008845009,0.94,0.102951559074058,1,0
"beta_est...7",0.05,1,2.3,0.303030303030303,20,2,50,3,0.0807069098288506,0.0307069098288506,1.88339664920275,0.94,0.132306967632307,0.08,0
"beta_est...8",0.5,1,2.3,0.303030303030303,20,2,50,3,0.499393210270853,-0.000606789729147192,1.91062002329671,0.93,0.154954740031338,0.26,0
"beta_est...9",1.5,1,2.3,0.303030303030303,20,2,50,3,1.4598268606279,-0.0401731393720957,1.8384138504253,0.95,0.148235205514637,0.96,0
"beta_est...10",0.05,1,3.4,0.227272727272727,20,2,50,3,0.0312693707749465,-0.0187306292250535,2.8735605809304,0.93,0.165375820023903,0.06,0
"beta_est...11",0.5,1,3.4,0.227272727272727,20,2,50,3,0.506156506812861,0.00615650681286096,2.84963658360591,0.97,0.143723793869279,0.22,0
"beta_est...12",1.5,1,3.4,0.227272727272727,20,2,50,3,1.50581614647303,0.00581614647302833,2.87686983339679,0.98,0.127731771634768,0.95,0
"beta_est...13",0.05,1,4.5,0.181818181818182,20,2,50,3,-0.0361768390728866,-0.0861768390728866,3.9036718186709,0.95,0.200931952316727,0.03,0
"beta_est...14",0.5,1,4.5,0.181818181818182,20,2,50,3,0.495810275836907,-0.00418972416309308,4.01911050708851,0.97,0.17320348217916,0.19,0
"beta_est...15",1.5,1,4.5,0.181818181818182,20,2,50,3,1.5001349282851,0.000134928285100825,3.93206659380213,0.95,0.227382727126745,0.91,0
"beta_est...16",0.05,1,5.6,0.151515151515152,20,2,50,3,0.0907801568017637,0.0407801568017637,5.04752381515077,0.92,0.288992774107947,0.08,0
"beta_est...17",0.5,1,5.6,0.151515151515152,20,2,50,3,0.528990238382618,0.028990238382618,4.94448412678652,0.98,0.210403124253836,0.19,0
"beta_est...18",1.5,1,5.6,0.151515151515152,20,2,50,3,1.54444416125469,0.044444161254692,4.90973407722773,0.92,0.222874592906878,0.89,0
"beta_est...19",0.05,1,6.7,0.12987012987013,20,2,50,3,0.0565497025999551,0.00654970259995508,6.0234457889497,0.93,0.323394652491557,0.07,0
"beta_est...20",0.5,1,6.7,0.12987012987013,20,2,50,3,0.46629734969175,-0.0337026503082507,6.15266871279082,0.93,0.30221614716374,0.19,0
"beta_est...21",1.5,1,6.7,0.12987012987013,20,2,50,3,1.52535872111998,0.0253587211199767,6.11340659349886,0.97,0.262225774992474,0.79,0
"beta_est...22",0.05,1,7.8,0.113636363636364,20,2,50,3,0.0474563445352252,-0.00254365546477485,6.88545803839575,0.98,0.261562885899636,0.02,0
"beta_est...23",0.5,1,7.8,0.113636363636364,20,2,50,3,0.573175435338066,0.0731754353380661,6.91988064951437,0.92,0.365985395195436,0.23,0
"beta_est...24",1.5,1,7.8,0.113636363636364,20,2,50,3,1.48318375891858,-0.0168162410814245,7.04166477853853,0.93,0.380906460372815,0.76,0
"beta_est...25",0.05,1,8.9,0.101010101010101,20,2,50,3,0.0861965102930707,0.0361965102930707,7.89488538067601,0.98,0.280060156035423,0.03,0
"beta_est...26",0.5,1,8.9,0.101010101010101,20,2,50,3,0.540394704555977,0.040394704555977,7.91557481791151,0.94,0.301726120706667,0.12,0
"beta_est...27",1.5,1,8.9,0.101010101010101,20,2,50,3,1.56512016394048,0.0651201639404825,8.09085265342621,0.95,0.308825422767767,0.77,0
"beta_est...28",0.05,1,10,0.0909090909090909,20,2,50,3,-0.116280426116541,-0.166280426116541,8.96547877668123,0.92,0.391421684085664,0.08,0
"beta_est...29",0.5,1,10,0.0909090909090909,20,2,50,3,0.540208440807644,0.0402084408076439,9.22661196688708,0.97,0.335532969619898,0.15,0
"beta_est...30",1.5,1,10,0.0909090909090909,20,2,50,3,1.48739653346371,-0.0126034665362875,9.12072429423782,0.95,0.343907578009411,0.64,0
"beta_est...31",0.05,1,0.1,0.909090909090909,20,5,50,6,0.0325702677385206,-0.0174297322614794,0.0838243839370465,0.95,0.0843021878594881,0.05,0
"beta_est...32",0.5,1,0.1,0.909090909090909,20,5,50,6,0.477617959915652,-0.0223820400843481,0.0831657423904333,0.94,0.0836229614753576,0.37,0
"beta_est...33",1.5,1,0.1,0.909090909090909,20,5,50,6,1.44696479418248,-0.0530352058175203,0.083417270003549,0.94,0.0677168650422309,1,0
"beta_est...34",0.05,1,1.2,0.454545454545455,20,5,50,6,0.0807931696058728,0.0307931696058727,1.02075854352371,0.95,0.1151450770629,0.05,0
"beta_est...35",0.5,1,1.2,0.454545454545455,20,5,50,6,0.493117445467596,-0.00688255453240391,1.02586405057806,0.96,0.0925950835462298,0.34,0
"beta_est...36",1.5,1,1.2,0.454545454545455,20,5,50,6,1.53775244707687,0.037752447076867,1.05341760402326,0.95,0.0999248556480889,0.99,0
"beta_est...37",0.05,1,2.3,0.303030303030303,20,5,50,6,0.13582764703018,0.0858276470301805,2.03106589913012,0.91,0.124203786965662,0.07,0
"beta_est...38",0.5,1,2.3,0.303030303030303,20,5,50,6,0.534040471260544,0.0340404712605439,2.0218451536251,0.97,0.0877600095433922,0.35,0
"beta_est...39",1.5,1,2.3,0.303030303030303,20,5,50,6,1.50771768047777,0.00771768047776986,2.01118092460197,0.94,0.105585101202602,0.99,0
"beta_est...40",0.05,1,3.4,0.227272727272727,20,5,50,6,0.0544232752776643,0.00442327527766426,2.99246434418219,0.96,0.103441669577088,0.06,0
"beta_est...41",0.5,1,3.4,0.227272727272727,20,5,50,6,0.520683577900604,0.0206835779006035,3.0021311624549,0.94,0.120145872017364,0.28,0
"beta_est...42",1.5,1,3.4,0.227272727272727,20,5,50,6,1.54740766989631,0.0474076698963132,3.07778300974903,0.95,0.113724152992117,0.99,0
"beta_est...43",0.05,1,4.5,0.181818181818182,20,5,50,6,0.0428581943541985,-0.00714180564580151,4.0438688096011,0.96,0.137409501419508,0.04,0
"beta_est...44",0.5,1,4.5,0.181818181818182,20,5,50,6,0.500958722779618,0.000958722779618288,4.12917448113179,0.92,0.14466182250866,0.26,0
"beta_est...45",1.5,1,4.5,0.181818181818182,20,5,50,6,1.4826676638462,-0.0173323361538041,4.06730604424001,0.94,0.158211576202534,0.98,0
"beta_est...46",0.05,1,5.6,0.151515151515152,20,5,50,6,0.0114410180760157,-0.0385589819239843,5.06337446438551,0.95,0.13912398957428,0.05,0
"beta_est...47",0.5,1,5.6,0.151515151515152,20,5,50,6,0.510308618032962,0.0103086180329624,5.05699985409166,0.93,0.13321966296265,0.21,0
"beta_est...48",1.5,1,5.6,0.151515151515152,20,5,50,6,1.52182453798311,0.0218245379831087,5.13141974535444,0.95,0.121582192702679,0.97,0
"beta_est...49",0.05,1,6.7,0.12987012987013,20,5,50,6,0.0587186647147888,0.00871866471478881,6.16171189944391,0.95,0.184179077233484,0.07,0
"beta_est...50",0.5,1,6.7,0.12987012987013,20,5,50,6,0.529586507091878,0.0295865070918779,6.22030417145593,0.98,0.155873515925346,0.24,0
"beta_est...51",1.5,1,6.7,0.12987012987013,20,5,50,6,1.44504395889901,-0.0549560411009896,6.16630358277599,0.94,0.162440879879699,0.93,0
"beta_est...52",0.05,1,7.8,0.113636363636364,20,5,50,6,-0.0197034695331804,-0.0697034695331804,7.24279977540481,0.95,0.169631107980596,0.05,0
"beta_est...53",0.5,1,7.8,0.113636363636364,20,5,50,6,0.436082970542809,-0.0639170294571915,7.20740027101977,0.95,0.188730967258299,0.16,0
"beta_est...54",1.5,1,7.8,0.113636363636364,20,5,50,6,1.54940063326887,0.0494006332688687,7.35566498076559,0.98,0.1532229816256,0.94,0
"beta_est...55",0.05,1,8.9,0.101010101010101,20,5,50,6,0.0432701218918343,-0.00672987810816574,8.35544168765024,0.94,0.246751692202646,0.06,0
"beta_est...56",0.5,1,8.9,0.101010101010101,20,5,50,6,0.540049886372841,0.0400498863728407,8.30560026563419,0.95,0.230744913645999,0.22,0
"beta_est...57",1.5,1,8.9,0.101010101010101,20,5,50,6,1.5372877960899,0.0372877960899,8.25601407218542,0.98,0.180037961661567,0.93,0
"beta_est...58",0.05,1,10,0.0909090909090909,20,5,50,6,0.0710914842716933,0.0210914842716933,9.52115200819033,0.95,0.249269240411239,0.04,0
"beta_est...59",0.5,1,10,0.0909090909090909,20,5,50,6,0.580289402125006,0.0802894021250059,9.36430111652957,0.96,0.165528397792995,0.24,0
"beta_est...60",1.5,1,10,0.0909090909090909,20,5,50,6,1.54334767978732,0.0433476797873198,9.22773635153173,0.94,0.232715836123661,0.88,0
"beta_est...61",0.05,1,0.1,0.909090909090909,20,10,50,11,0.0615257204774783,0.0115257204774783,0.0915874929387125,0.94,0.0886011376081106,0.06,0
"beta_est...62",0.5,1,0.1,0.909090909090909,20,10,50,11,0.520792856284105,0.0207928562841045,0.0909396984369765,0.94,0.0847599657518718,0.46,0
"beta_est...63",1.5,1,0.1,0.909090909090909,20,10,50,11,1.50451774595252,0.00451774595251913,0.091176338694,0.98,0.0692031451627023,1,0
"beta_est...64",0.05,1,1.2,0.454545454545455,20,10,50,11,0.0892791673760389,0.0392791673760389,1.10537591023267,0.94,0.0802919571939739,0.06,0
"beta_est...65",0.5,1,1.2,0.454545454545455,20,10,50,11,0.51490698960056,0.0149069896005602,1.09344327214673,0.94,0.0735604361991356,0.31,0
"beta_est...66",1.5,1,1.2,0.454545454545455,20,10,50,11,1.52136511623884,0.0213651162388445,1.10146602290159,0.96,0.0916019185120089,1,0
"beta_est...67",0.05,1,2.3,0.303030303030303,20,10,50,11,0.0630875203358272,0.0130875203358273,2.1000985308928,0.9,0.100941492988916,0.09,0
"beta_est...68",0.5,1,2.3,0.303030303030303,20,10,50,11,0.482494906191856,-0.0175050938081442,2.11173069197434,0.91,0.117271381886715,0.36,0
"beta_est...69",1.5,1,2.3,0.303030303030303,20,10,50,11,1.48655157059001,-0.0134484294099903,2.13265138986367,0.97,0.0969229253574635,1,0
"beta_est...70",0.05,1,3.4,0.227272727272727,20,10,50,11,0.0530375653983776,0.00303756539837761,3.19156989008449,0.94,0.0895836158221328,0.04,0
"beta_est...71",0.5,1,3.4,0.227272727272727,20,10,50,11,0.52951302202309,0.0295130220230906,3.18420901522516,0.97,0.0909437712423895,0.34,0
"beta_est...72",1.5,1,3.4,0.227272727272727,20,10,50,11,1.51026894492155,0.0102689449215474,3.14357333001399,0.96,0.114774354209796,1,0
"beta_est...73",0.05,1,4.5,0.181818181818182,20,10,50,11,0.0749961062124904,0.0249961062124904,4.15450614210868,0.94,0.138318102716629,0.07,0
"beta_est...74",0.5,1,4.5,0.181818181818182,20,10,50,11,0.487747162627576,-0.0122528373724243,4.19830701505006,0.96,0.0937746310671883,0.28,0
"beta_est...75",1.5,1,4.5,0.181818181818182,20,10,50,11,1.48406978119845,-0.0159302188015526,4.17698098604203,0.93,0.125470816118384,0.98,0
"beta_est...76",0.05,1,5.6,0.151515151515152,20,10,50,11,0.00680505954585927,-0.0431949404541408,5.27110706843934,0.94,0.147492480997042,0.06,0
"beta_est...77",0.5,1,5.6,0.151515151515152,20,10,50,11,0.51539439898157,0.0153943989815702,5.25315879600408,0.96,0.133062861747071,0.33,0
"beta_est...78",1.5,1,5.6,0.151515151515152,20,10,50,11,1.44432465226098,-0.0556753477390219,5.31978569014032,0.93,0.126644919311455,0.97,0
"beta_est...79",0.05,1,6.7,0.12987012987013,20,10,50,11,0.0778794964395544,0.0278794964395544,6.32668953190102,0.94,0.120991596334469,0.05,0
"beta_est...80",0.5,1,6.7,0.12987012987013,20,10,50,11,0.523702601556338,0.0237026015563377,6.29832574226174,0.96,0.110099874458195,0.25,0
"beta_est...81",1.5,1,6.7,0.12987012987013,20,10,50,11,1.46166933879496,-0.0383306612050392,6.33136419547926,0.91,0.16869334136244,0.98,0
"beta_est...82",0.05,1,7.8,0.113636363636364,20,10,50,11,0.0455657508101421,-0.0044342491898579,7.24365017124972,0.97,0.123769973423772,0.04,0
"beta_est...83",0.5,1,7.8,0.113636363636364,20,10,50,11,0.558591084880617,0.0585910848806175,7.3702021383775,0.93,0.139326340482245,0.3,0
"beta_est...84",1.5,1,7.8,0.113636363636364,20,10,50,11,1.47675695663244,-0.0232430433675571,7.36257327003339,0.93,0.135861759173878,0.97,0
"beta_est...85",0.05,1,8.9,0.101010101010101,20,10,50,11,0.0469413696584737,-0.00305863034152628,8.41150530310069,0.92,0.149468836348693,0.07,0
"beta_est...86",0.5,1,8.9,0.101010101010101,20,10,50,11,0.50061629744119,0.000616297441190108,8.41113695106387,0.97,0.137475830915322,0.2,0
"beta_est...87",1.5,1,8.9,0.101010101010101,20,10,50,11,1.52468212504847,0.024682125048467,8.37857126203366,0.99,0.105032100984571,1,0
"beta_est...88",0.05,1,10,0.0909090909090909,20,10,50,11,0.0568228603326077,0.00682286033260767,9.66762279703637,0.94,0.157950158284275,0.05,0
"beta_est...89",0.5,1,10,0.0909090909090909,20,10,50,11,0.516179645778997,0.016179645778997,9.50401965938357,0.91,0.16467488838776,0.21,0
"beta_est...90",1.5,1,10,0.0909090909090909,20,10,50,11,1.50969859843814,0.00969859843814393,9.5923343880102,0.92,0.156333202438232,0.97,0
"beta_est...91",0.05,1,0.1,0.909090909090909,20,20,50,21,0.0398911786578723,-0.0101088213421276,0.0954209866357207,0.94,0.0871298143801746,0.05,0
"beta_est...92",0.5,1,0.1,0.909090909090909,20,20,50,21,0.524657800770129,0.024657800770129,0.0955261673185391,0.94,0.0732297416408511,0.44,0
"beta_est...93",1.5,1,0.1,0.909090909090909,20,20,50,21,1.50377552919579,0.00377552919579254,0.0954308230505043,0.96,0.0840830998844623,1,0
"beta_est...94",0.05,1,1.2,0.454545454545455,20,20,50,21,0.00795217490207443,-0.0420478250979256,1.14897206186403,0.98,0.0895911414124406,0.02,0
"beta_est...95",0.5,1,1.2,0.454545454545455,20,20,50,21,0.463343218722645,-0.0366567812773552,1.14850015892574,0.95,0.0859248468233943,0.33,0
"beta_est...96",1.5,1,1.2,0.454545454545455,20,20,50,21,1.49279633196143,-0.00720366803856796,1.14471576681734,0.89,0.109698164726177,0.98,0
"beta_est...97",0.05,1,2.3,0.303030303030303,20,20,50,21,0.0648255138577809,0.0148255138577809,2.18815495549014,0.93,0.112709819929852,0.09,0
"beta_est...98",0.5,1,2.3,0.303030303030303,20,20,50,21,0.500010582776072,1.05827760717536e-05,2.19374045555711,0.93,0.102836170799283,0.37,0
"beta_est...99",1.5,1,2.3,0.303030303030303,20,20,50,21,1.4596076023935,-0.0403923976064974,2.19281091547154,0.94,0.117343194021576,0.99,0
"beta_est...100",0.05,1,3.4,0.227272727272727,20,20,50,21,0.0530700102120652,0.00307001021206517,3.25757939215499,0.95,0.0966036134063563,0.04,0
"beta_est...101",0.5,1,3.4,0.227272727272727,20,20,50,21,0.531809195871843,0.0318091958718431,3.24864531932774,0.94,0.0845221848612201,0.35,0
"beta_est...102",1.5,1,3.4,0.227272727272727,20,20,50,21,1.48987098059587,-0.0101290194041348,3.26907011891446,0.92,0.107443197759997,0.98,0
"beta_est...103",0.05,1,4.5,0.181818181818182,20,20,50,21,0.0482709312426827,-0.00172906875731731,4.33755291560864,0.97,0.0950484052927536,0.06,0
"beta_est...104",0.5,1,4.5,0.181818181818182,20,20,50,21,0.420408139962932,-0.0795918600370676,4.28732626466761,0.9,0.104820073011437,0.22,0
"beta_est...105",1.5,1,4.5,0.181818181818182,20,20,50,21,1.49207481154453,-0.00792518845546845,4.33624363717444,0.91,0.12087107527256,1,0
"beta_est...106",0.05,1,5.6,0.151515151515152,20,20,50,21,0.089584556008414,0.039584556008414,5.35456556939032,0.94,0.106646540660586,0.07,0
"beta_est...107",0.5,1,5.6,0.151515151515152,20,20,50,21,0.497809340104218,-0.00219065989578174,5.35208966168096,0.94,0.120760928669537,0.39,0
"beta_est...108",1.5,1,5.6,0.151515151515152,20,20,50,21,1.54262579692191,0.0426257969219074,5.38352885324971,0.96,0.0982855904090199,1,0
"beta_est...109",0.05,1,6.7,0.12987012987013,20,20,50,21,0.0517773809847851,0.00177738098478509,6.44281529374384,0.94,0.106651206834496,0.08,0
"beta_est...110",0.5,1,6.7,0.12987012987013,20,20,50,21,0.527090241370307,0.0270902413703074,6.44132793899952,0.95,0.11095925548166,0.37,0
"beta_est...111",1.5,1,6.7,0.12987012987013,20,20,50,21,1.4763658520239,-0.023634147976101,6.49231565265957,0.93,0.118622794184697,0.99,0
"beta_est...112",0.05,1,7.8,0.113636363636364,20,20,50,21,0.0167011942600858,-0.0332988057399142,7.548833304902,0.97,0.099867985498939,0.05,0
"beta_est...113",0.5,1,7.8,0.113636363636364,20,20,50,21,0.524787121013462,0.0247871210134616,7.54813722514641,0.97,0.0813717233881149,0.31,0
"beta_est...114",1.5,1,7.8,0.113636363636364,20,20,50,21,1.44331938317645,-0.0566806168235468,7.49765182683832,0.92,0.116643987227042,0.99,0
"beta_est...115",0.05,1,8.9,0.101010101010101,20,20,50,21,0.0355564467173507,-0.0144435532826493,8.59468201958493,0.97,0.10470478248013,0.04,0
"beta_est...116",0.5,1,8.9,0.101010101010101,20,20,50,21,0.532314676442703,0.0323146764427035,8.63678875749364,0.97,0.124018393957175,0.33,0
"beta_est...117",1.5,1,8.9,0.101010101010101,20,20,50,21,1.52540252931331,0.0254025293133054,8.612758716899,0.96,0.103188250695933,0.99,0
"beta_est...118",0.05,1,10,0.0909090909090909,20,20,50,21,0.101553913707435,0.0515539137074353,9.68874141798344,0.95,0.112870474497546,0.07,0
"beta_est...119",0.5,1,10,0.0909090909090909,20,20,50,21,0.571438854744313,0.0714388547443125,9.66518710339438,0.95,0.118293732114963,0.4,0
"beta_est...120",1.5,1,10,0.0909090909090909,20,20,50,21,1.49495366253032,-0.00504633746968169,9.69788088959464,0.9,0.152260303188075,0.97,0
